time v a w
512778631.02 V:4.983 A:0.395 W:1.970
512778631.22 V:4.983 A:0.396 W:1.977
512778631.42 V:4.983 A:0.394 W:1.966
512778631.62 V:4.983 A:0.394 W:1.966
512778631.82 V:4.983 A:0.396 W:1.973
512778632.02 V:4.983 A:0.395 W:1.970
512778632.22 V:4.983 A:0.395 W:1.966
512778632.42 V:4.983 A:0.395 W:1.966
512778632.62 V:4.983 A:0.396 W:1.973
512778632.82 V:4.983 A:0.394 W:1.966
512778633.02 V:4.983 A:0.396 W:1.973
512778633.22 V:4.983 A:0.396 W:1.973
512778633.42 V:4.981 A:0.396 W:1.970
512778633.62 V:4.983 A:0.394 W:1.966
512778633.82 V:4.983 A:0.394 W:1.966
512778634.02 V:4.983 A:0.394 W:1.966
512778634.22 V:4.981 A:0.395 W:1.970
512778634.42 V:4.983 A:0.395 W:1.970
512778634.62 V:4.981 A:0.395 W:1.966
512778634.82 V:4.981 A:0.395 W:1.966
512778635.02 V:4.981 A:0.394 W:1.966
512778635.22 V:4.981 A:0.396 W:1.973
512778635.42 V:4.981 A:0.396 W:1.973
512778635.62 V:4.981 A:0.396 W:1.973
512778635.82 V:4.981 A:0.395 W:1.970
512778636.02 V:4.983 A:0.395 W:1.970
512778636.22 V:4.983 A:0.395 W:1.970
512778636.42 V:4.983 A:0.395 W:1.970
512778636.62 V:4.983 A:0.395 W:1.970
512778636.82 V:4.983 A:0.395 W:1.966
512778637.02 V:4.983 A:0.395 W:1.966
512778637.22 V:4.983 A:0.396 W:1.973
512778637.42 V:4.983 A:0.410 W:2.046
512778637.62 V:4.983 A:0.403 W:2.011
512778637.82 V:4.983 A:0.403 W:2.011
512778638.02 V:4.986 A:0.430 W:2.141
512778638.22 V:4.985 A:0.427 W:2.130
512778638.42 V:4.985 A:0.427 W:2.130
512778638.62 V:4.985 A:0.426 W:2.122
512778638.82 V:4.986 A:0.428 W:2.137
512778639.02 V:4.985 A:0.426 W:2.122
512778639.22 V:4.985 A:0.426 W:2.122
512778639.42 V:4.985 A:0.431 W:2.149
512778639.62 V:4.984 A:0.419 W:2.088
512778639.82 V:4.981 A:0.401 W:2.000
512778640.02 V:4.981 A:0.401 W:2.000
512778640.22 V:4.984 A:0.417 W:2.080
512778640.42 V:4.986 A:0.439 W:2.187
512778640.62 V:4.987 A:0.421 W:2.103
512778640.82 V:4.987 A:0.421 W:2.103
512778641.02 V:4.984 A:0.404 W:2.015
512778641.22 V:4.984 A:0.404 W:2.015
512778641.42 V:4.984 A:0.404 W:2.015
512778641.62 V:4.983 A:0.414 W:2.061
512778641.82 V:4.983 A:0.398 W:1.985
512778642.02 V:4.984 A:0.409 W:2.038
512778642.22 V:4.984 A:0.409 W:2.038
512778642.42 V:4.984 A:0.416 W:2.073
512778642.62 V:4.984 A:0.407 W:2.031
512778642.82 V:4.983 A:0.395 W:1.970
512778643.02 V:4.983 A:0.395 W:1.970
512778643.22 V:4.981 A:0.395 W:1.970
512778643.42 V:4.983 A:0.396 W:1.973
512778643.62 V:4.981 A:0.395 W:1.970
512778643.82 V:4.981 A:0.395 W:1.970
512778644.02 V:4.983 A:0.396 W:1.977
512778644.22 V:4.983 A:0.404 W:2.011
512778644.42 V:4.981 A:0.395 W:1.970
512778644.62 V:4.981 A:0.395 W:1.970
512778644.82 V:4.981 A:0.395 W:1.970
512778645.02 V:4.981 A:0.395 W:1.970
512778645.22 V:4.981 A:0.395 W:1.970
512778645.42 V:4.981 A:0.396 W:1.973
512778645.62 V:4.984 A:0.416 W:2.073
512778645.82 V:4.983 A:0.401 W:2.000
512778646.02 V:4.983 A:0.401 W:2.000
512778646.22 V:4.983 A:0.395 W:1.970
512778646.42 V:4.981 A:0.394 W:1.966
512778646.62 V:4.983 A:0.395 W:1.966
512778646.82 V:4.983 A:0.395 W:1.966
512778647.02 V:4.983 A:0.394 W:1.966
512778647.22 V:4.983 A:0.400 W:1.996
512778647.42 V:4.983 A:0.399 W:1.989
512778647.62 V:4.983 A:0.399 W:1.989
512778647.82 V:4.984 A:0.396 W:1.973
512778648.02 V:4.983 A:0.399 W:1.985
512778648.22 V:4.983 A:0.399 W:1.985
512778648.42 V:4.983 A:0.396 W:1.973
512778648.62 V:4.983 A:0.396 W:1.973
512778648.82 V:4.984 A:0.404 W:2.011
512778649.02 V:4.984 A:0.404 W:2.011
512778649.22 V:4.981 A:0.397 W:1.977
512778649.42 V:4.981 A:0.395 W:1.966
512778649.62 V:4.981 A:0.395 W:1.970
512778649.82 V:4.981 A:0.395 W:1.970
512778650.02 V:4.981 A:0.394 W:1.966
512778650.22 V:4.983 A:0.395 W:1.966
512778650.42 V:4.983 A:0.407 W:2.031
512778650.62 V:4.983 A:0.407 W:2.031
512778650.82 V:4.983 A:0.395 W:1.966
512778651.02 V:4.983 A:0.396 W:1.977
512778651.22 V:4.983 A:0.396 W:1.977
512778651.42 V:4.981 A:0.395 W:1.973
512778651.62 V:4.983 A:0.394 W:1.966
512778651.82 V:4.983 A:0.394 W:1.966
512778652.02 V:4.983 A:0.394 W:1.966
512778652.22 V:4.984 A:0.405 W:2.019
512778652.42 V:4.983 A:0.395 W:1.970
512778652.62 V:4.983 A:0.396 W:1.970
512778652.82 V:4.983 A:0.396 W:1.970
512778653.02 V:4.983 A:0.396 W:1.973
512778653.22 V:4.983 A:0.395 W:1.966
512778653.42 V:4.983 A:0.395 W:1.966
512778653.62 V:4.983 A:0.395 W:1.966
512778653.82 V:4.984 A:0.405 W:2.019
512778654.02 V:4.981 A:0.395 W:1.970
512778654.22 V:4.983 A:0.394 W:1.966
