time watts usage_c0 usage_c1 usage_c2 usage_c3 usage_c4 usage_c5 usage_c6 usage_c7 temp4 temp5 temp6 temp7 temp_gpu freq_little_cluster freq_big_cluster freq_gpu freq_mem volts_little_cluster volts_big_cluster volts_gpu volts_mem
1505201420.13 5.798 0.0 0.0 0.0 0.0 0.0 1.0 0.166666666667 0.0 71.0 84.0 76.0 69.0 65.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201420.23 6.195 0.4 0.0 0.0 0.0 0.0 1.0 0.0 0.0 70.0 84.0 74.0 68.0 65.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201420.33 6.195 0.0 0.0 0.0 0.0 0.166666666667 1.0 0.166666666667 0.0 70.0 84.0 74.0 68.0 65.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201420.43 6.195 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 70.0 84.0 74.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201420.53 6.084 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 71.0 84.0 74.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201420.63 6.084 0.25 0.0 0.0 0.0 0.6 1.0 0.2 0.0 69.0 84.0 74.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201420.73 6.084 0.2 0.0 0.0 0.0 0.166666666667 1.0 0.0 0.0 70.0 84.0 74.0 68.0 65.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201420.83 5.756 0.2 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 84.0 74.0 68.0 65.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201420.93 5.756 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 84.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.03 5.947 0.166666666667 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 84.0 74.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.13 5.947 0.2 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 84.0 74.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.23 5.947 0.2 0.0 0.0 0.0 0.166666666667 1.0 0.2 0.0 69.0 83.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.33 5.664 0.0 0.166666666667 0.0 0.0 0.0 1.0 0.0 0.0 70.0 84.0 74.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.43 5.664 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 83.0 74.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.53 5.664 0.25 0.0 0.0 0.0 1.0 0.166666666667 1.0 0.0 70.0 80.0 74.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.63 5.786 0.0 0.0 0.0 0.0 0.2 0.0 0.75 0.0 70.0 76.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.73 5.786 0.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 69.0 75.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.83 5.271 0.0 0.0 0.0 0.0 0.2 0.0 0.0 0.0 68.0 73.0 72.0 67.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201421.93 5.271 0.166666666667 0.0 0.166666666667 0.0 0.2 0.0 0.0 0.0 67.0 72.0 71.0 67.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201422.03 5.271 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 67.0 72.0 70.0 67.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201422.13 3.977 0.0 0.0 0.0 0.0 0.5 0.75 0.0 0.0 67.0 71.0 70.0 66.0 63.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201422.23 3.977 0.0 0.0 0.0 0.0 0.25 0.333333333333 0.0 0.0 68.0 74.0 71.0 67.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
