time v a w
512779485.72 V:4.991 A:0.481 W:2.405
512779485.92 V:4.991 A:0.481 W:2.405
512779486.12 V:4.992 A:0.482 W:2.405
512779486.32 V:4.991 A:0.482 W:2.405
512779486.52 V:4.991 A:0.482 W:2.405
512779486.72 V:4.991 A:0.481 W:2.405
512779486.92 V:4.994 A:0.481 W:2.401
512779487.12 V:4.992 A:0.481 W:2.401
512779487.32 V:4.992 A:0.481 W:2.401
512779487.52 V:4.987 A:0.448 W:2.237
512779487.72 V:4.990 A:0.470 W:2.347
512779487.92 V:4.989 A:0.448 W:2.237
512779488.12 V:4.989 A:0.448 W:2.237
512779488.32 V:4.985 A:0.427 W:2.126
512779488.52 V:4.983 A:0.410 W:2.042
512779488.72 V:4.980 A:0.388 W:1.935
512779488.92 V:4.980 A:0.388 W:1.935
512779489.12 V:4.983 A:0.401 W:1.996
512779489.32 V:4.980 A:0.389 W:1.935
512779489.52 V:4.981 A:0.389 W:1.935
512779489.72 V:4.981 A:0.389 W:1.935
512779489.92 V:4.983 A:0.403 W:2.008
512779490.12 V:4.981 A:0.389 W:1.935
512779490.32 V:4.981 A:0.389 W:1.935
512779490.52 V:4.981 A:0.388 W:1.935
512779490.72 V:4.980 A:0.388 W:1.931
512779490.92 V:4.981 A:0.388 W:1.935
512779491.12 V:4.981 A:0.388 W:1.935
512779491.32 V:4.981 A:0.388 W:1.935
512779491.52 V:4.980 A:0.388 W:1.931
512779491.72 V:4.981 A:0.388 W:1.935
512779491.92 V:4.981 A:0.388 W:1.935
512779492.12 V:4.981 A:0.388 W:1.931
512779492.32 V:4.980 A:0.388 W:1.931
512779492.52 V:4.981 A:0.398 W:1.981
512779492.72 V:4.981 A:0.398 W:1.981
512779492.92 V:4.980 A:0.390 W:1.943
512779493.12 V:4.980 A:0.388 W:1.931
512779493.32 V:4.980 A:0.388 W:1.931
512779493.52 V:4.980 A:0.388 W:1.931
512779493.72 V:4.980 A:0.388 W:1.935
512779493.92 V:4.981 A:0.389 W:1.939
512779494.12 V:4.981 A:0.389 W:1.939
512779494.32 V:4.980 A:0.388 W:1.931
512779494.52 V:4.981 A:0.388 W:1.931
512779494.72 V:4.980 A:0.388 W:1.931
512779494.92 V:4.980 A:0.388 W:1.931
512779495.12 V:4.981 A:0.388 W:1.931
512779495.32 V:4.981 A:0.388 W:1.931
512779495.52 V:4.980 A:0.388 W:1.931
512779495.72 V:4.980 A:0.388 W:1.931
512779495.92 V:4.981 A:0.388 W:1.931
512779496.12 V:4.981 A:0.388 W:1.931
512779496.32 V:4.981 A:0.388 W:1.931
512779496.52 V:4.980 A:0.388 W:1.931
512779496.72 V:4.981 A:0.388 W:1.931
512779496.92 V:4.980 A:0.388 W:1.931
512779497.12 V:4.980 A:0.388 W:1.931
512779497.32 V:4.980 A:0.388 W:1.931
512779497.52 V:4.980 A:0.388 W:1.931
512779497.72 V:4.980 A:0.388 W:1.931
512779497.92 V:4.980 A:0.388 W:1.931
512779498.12 V:4.980 A:0.388 W:1.931
512779498.32 V:4.980 A:0.388 W:1.935
512779498.52 V:4.980 A:0.388 W:1.931
512779498.72 V:4.980 A:0.388 W:1.931
