time v a w
512778990.22 V:4.990 A:0.477 W:2.382
512778990.42 V:4.990 A:0.477 W:2.382
512778990.62 V:4.990 A:0.477 W:2.386
512778990.82 V:4.990 A:0.477 W:2.386
512778991.02 V:4.991 A:0.477 W:2.382
512778991.22 V:4.990 A:0.477 W:2.382
512778991.42 V:4.990 A:0.477 W:2.382
512778991.62 V:4.991 A:0.477 W:2.382
512778991.82 V:4.992 A:0.477 W:2.382
512778992.02 V:4.990 A:0.477 W:2.382
512778992.22 V:4.990 A:0.477 W:2.382
512778992.42 V:4.991 A:0.477 W:2.386
512778992.62 V:4.991 A:0.477 W:2.386
512778992.82 V:4.991 A:0.477 W:2.386
512778993.02 V:4.991 A:0.477 W:2.386
512778993.22 V:4.990 A:0.477 W:2.382
512778993.42 V:4.991 A:0.477 W:2.386
512778993.62 V:4.991 A:0.478 W:2.386
512778993.82 V:4.991 A:0.478 W:2.386
512778994.02 V:4.991 A:0.477 W:2.382
512778994.22 V:4.991 A:0.479 W:2.393
512778994.42 V:4.991 A:0.479 W:2.393
512778994.62 V:4.990 A:0.477 W:2.386
512778994.82 V:4.991 A:0.477 W:2.382
512778995.02 V:4.990 A:0.477 W:2.382
512778995.22 V:4.990 A:0.477 W:2.382
512778995.42 V:4.990 A:0.477 W:2.382
512778995.62 V:4.990 A:0.477 W:2.386
512778995.82 V:4.991 A:0.476 W:2.378
512778996.02 V:4.991 A:0.476 W:2.378
512778996.22 V:4.991 A:0.476 W:2.378
512778996.42 V:4.990 A:0.476 W:2.378
512778996.62 V:4.991 A:0.476 W:2.378
512778996.82 V:4.991 A:0.476 W:2.378
512778997.02 V:4.991 A:0.476 W:2.378
512778997.22 V:4.990 A:0.477 W:2.378
512778997.42 V:4.991 A:0.477 W:2.382
512778997.62 V:4.991 A:0.477 W:2.382
512778997.82 V:4.991 A:0.476 W:2.378
512778998.02 V:4.991 A:0.476 W:2.378
512778998.22 V:4.991 A:0.476 W:2.378
512778998.42 V:4.991 A:0.476 W:2.378
512778998.62 V:4.991 A:0.476 W:2.378
512778998.82 V:4.991 A:0.476 W:2.378
512778999.02 V:4.991 A:0.476 W:2.378
512778999.22 V:4.991 A:0.477 W:2.378
512778999.42 V:4.990 A:0.476 W:2.374
512778999.62 V:4.990 A:0.477 W:2.382
512778999.82 V:4.990 A:0.477 W:2.382
512779000.02 V:4.991 A:0.477 W:2.382
512779000.22 V:4.991 A:0.477 W:2.382
512779000.42 V:4.990 A:0.477 W:2.382
512779000.62 V:4.990 A:0.477 W:2.382
512779000.82 V:4.992 A:0.477 W:2.382
512779001.02 V:4.991 A:0.477 W:2.382
512779001.22 V:4.991 A:0.477 W:2.382
512779001.42 V:4.990 A:0.477 W:2.386
512779001.62 V:4.992 A:0.478 W:2.389
512779001.82 V:4.991 A:0.477 W:2.386
512779002.02 V:4.991 A:0.477 W:2.386
512779002.22 V:4.991 A:0.478 W:2.386
512779002.42 V:4.991 A:0.477 W:2.386
512779002.62 V:4.991 A:0.477 W:2.382
512779002.82 V:4.991 A:0.477 W:2.382
512779003.02 V:4.991 A:0.477 W:2.386
512779003.22 V:4.991 A:0.477 W:2.386
512779003.42 V:4.991 A:0.477 W:2.382
512779003.62 V:4.991 A:0.477 W:2.382
512779003.82 V:4.991 A:0.477 W:2.382
512779004.02 V:4.991 A:0.479 W:2.389
512779004.22 V:4.991 A:0.479 W:2.389
512779004.42 V:4.991 A:0.477 W:2.386
512779004.62 V:4.990 A:0.477 W:2.386
512779004.82 V:4.991 A:0.477 W:2.382
512779005.02 V:4.991 A:0.477 W:2.382
512779005.22 V:4.991 A:0.477 W:2.382
512779005.42 V:4.990 A:0.478 W:2.386
512779005.62 V:4.991 A:0.477 W:2.386
512779005.82 V:4.991 A:0.477 W:2.386
512779006.02 V:4.991 A:0.476 W:2.378
512779006.22 V:4.990 A:0.479 W:2.393
512779006.42 V:4.990 A:0.476 W:2.378
512779006.62 V:4.990 A:0.476 W:2.378
512779006.82 V:4.991 A:0.483 W:2.412
512779007.04 V:4.992 A:0.481 W:2.405
512779007.22 V:4.991 A:0.483 W:2.412
512779007.42 V:4.992 A:0.484 W:2.416
512779008.8 V:4.992 A:0.484 W:2.416
512779008.92 V:4.992 A:0.486 W:2.424
512779009.09 V:4.992 A:0.486 W:2.424
512779009.25 V:4.992 A:0.486 W:2.424
512779009.44 V:4.992 A:0.486 W:2.424
512779009.56 V:4.992 A:0.485 W:2.424
512779009.74 V:4.992 A:0.485 W:2.424
512779009.86 V:4.992 A:0.485 W:2.424
512779010.02 V:4.992 A:0.485 W:2.424
512779010.14 V:4.991 A:0.493 W:2.462
512779011.2 V:4.991 A:0.482 W:2.408
512779011.32 V:4.991 A:0.482 W:2.408
512779011.44 V:4.991 A:0.482 W:2.408
512779011.56 V:4.991 A:0.482 W:2.408
512779011.68 V:4.992 A:0.482 W:2.408
512779011.8 V:4.992 A:0.482 W:2.408
512779011.92 V:4.992 A:0.476 W:2.408
512779012.04 V:4.991 A:0.476 W:2.378
512779012.16 V:4.991 A:0.476 W:2.378
