time,temp4,temp5,temp6,temp7,big_dyn,big_tot,little_dyn,little_tot,4_tot,5_tot,6_tot,7_tot
1513655959.75,54.0,56.0,57.0,55.0,0.02624791874661229,0.1035932854851105,0.0020494116487456745,0.07479902631880597,0.0377559337876001,0.027164668328261296,0.01933634168462455,0.01933634168462455
1513655959.95,54.0,56.0,56.0,54.0,0.13809229419375893,0.21311088498234948,0.0033485922502538585,0.07520655279341903,0.12363487113315855,0.05196671845489566,0.018754647697147638,0.018754647697147638
1513655960.15,54.0,57.0,57.0,55.0,0.10248132561963297,0.17982669235813117,0.0019640194965265477,0.07516285856682077,0.05154475830818407,0.042760644683253246,0.05447279618275498,0.031048493183938895
1513655960.35,54.0,57.0,57.0,55.0,0.026303294101529852,0.10364866084002805,0.0024763724098451497,0.07567521148013936,0.029057948222105764,0.026537531712413017,0.024452976704333596,0.023600204201175676
1513655960.55,54.0,57.0,57.0,55.0,0.041218809132482645,0.11856417587098085,0.0023864859337477586,0.07558532500404197,0.04571637952946489,0.034175112972266865,0.01933634168462455,0.01933634168462455
1513655960.75,54.0,57.0,57.0,55.0,0.12324972107244649,0.2005950878109447,0.0018664284653646288,0.07506526753565884,0.08595781253472826,0.07596459190696732,0.01933634168462455,0.01933634168462455
1513655960.95,54.0,57.0,57.0,55.0,1.459222670309235,1.5365680370477333,0.0015409110128490535,0.07473975008314326,0.3040627163738776,0.7667430752583948,0.3396535132181623,0.1261087321972986
1513655961.15,54.0,59.0,57.0,55.0,0.921979169344085,1.0406789926912217,0.0021957981954074733,0.07629992465740211,0.16107341227744862,0.7786461575340081,0.07128446704298072,0.029674955836784176
1513655961.35,56.0,62.0,59.0,56.0,0.4194616344437599,0.5492967231227355,0.0012134674217569807,0.0795059782840366,0.12234340811936723,0.36203577066388043,0.032458772169743896,0.032458772169743896
1513655961.55,56.0,60.0,59.0,56.0,0.4154616662307756,0.5095547048629674,0.0015572831925338077,0.078902649931032,0.09665299172557829,0.3658551938212932,0.02352325965804796,0.02352325965804796
1513655961.75,56.0,60.0,59.0,56.0,0.35323505324879056,0.44732809188098244,0.004574579578582545,0.08191994631708074,0.08978597063322788,0.25369899252543493,0.061387665931050384,0.04245546279126917
1513655961.95,56.0,59.0,59.0,56.0,0.0948990688240167,0.18392393633436924,0.004086624422994286,0.08096195855762334,0.0913969670211209,0.04801453555807207,0.022256216877588133,0.022256216877588133
1513655962.15,55.0,58.0,58.0,56.0,0.13648719017731764,0.2206477532236697,0.0007685293654549356,0.07624781580539418,0.13344135620253528,0.04512611549795837,0.02104014076158801,0.02104014076158801
1513655962.36,55.0,58.0,58.0,56.0,0.03945494117162998,0.12361550421798202,0.0015248598565411517,0.07700414629648039,0.03628959655139024,0.04524562614341576,0.02104014076158801,0.02104014076158801
1513655962.56,54.0,57.0,58.0,55.0,0.02209476704042602,0.10182582676854901,0.0030741174752545327,0.07672445754102747,0.0331896251566876,0.028770671747799917,0.019932764932030746,0.019932764932030746
1513655962.76,54.0,57.0,57.0,55.0,0.03296679528457793,0.11031216202307614,0.0019819967917283497,0.07518083586202257,0.04288405260176309,0.02875542605206395,0.01933634168462455,0.01933634168462455
1513655962.96,54.0,57.0,57.0,55.0,0.03672146158455928,0.11406682832305748,0.003403487205298145,0.07660232627559237,0.034962495550427374,0.04043164940338101,0.01933634168462455,0.01933634168462455
1513655963.16,54.0,57.0,57.0,55.0,0.07243096571942377,0.149776332457922,0.002790975075920873,0.07598981414621508,0.07793217912010622,0.03317146996856664,0.01933634168462455,0.01933634168462455
1513655963.36,54.0,57.0,57.0,55.0,0.034304800385436734,0.11165016712393494,0.0023864859336862766,0.07558532500398049,0.04766140622287258,0.022326209608233855,0.022326209608203956,0.01933634168462455
1513655963.56,54.0,57.0,57.0,55.0,0.046515299073551224,0.12386066581204944,0.0027543784392454326,0.07595321750953965,0.04954730912573698,0.035640673317063346,0.01933634168462455,0.01933634168462455
1513655963.76,54.0,57.0,57.0,55.0,0.029685146204630038,0.10703051294312824,0.002689852790326488,0.07588869186062071,0.044780752716711066,0.023577076857168075,0.01933634168462455,0.01933634168462455
1513655963.96,54.0,57.0,57.0,55.0,0.035071058814624814,0.11241642555312302,0.002790975075805594,0.07598981414609982,0.047304401245973,0.026439340937900922,0.01933634168462455,0.01933634168462455
1513655964.16,54.0,57.0,57.0,55.0,0.045249576647825154,0.12259494338632336,0.0023258125624890376,0.07552465163278325,0.0645859183324497,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655964.36,54.0,57.0,57.0,55.0,0.14634915532379175,0.22369452206228996,0.0016224508876462,0.07482128995794042,0.12679551167624784,0.05822632701679303,0.01933634168462455,0.01933634168462455
1513655964.56,54.0,57.0,57.0,55.0,0.0319594911885215,0.1093048579270197,0.0021511467965951874,0.0753499858668894,0.030945410916325165,0.03312211139736036,0.025900993928709624,0.01933634168462455
1513655964.76,54.0,57.0,57.0,55.0,0.07934962785532533,0.15669499459382352,0.002386485933701647,0.07558532500399587,0.0688316541089091,0.04919065711566535,0.01933634168462455,0.01933634168462455
1513655964.96,54.0,57.0,57.0,55.0,0.04388892504147384,0.12123429177997205,0.0016651469636915909,0.07486398603398581,0.05219898506540276,0.02668719612509762,0.02301176890484712,0.01933634168462455
1513655965.16,54.0,57.0,57.0,55.0,0.03635229254299654,0.11369765928149475,0.0023055881054038223,0.07550442717569804,0.05070886812599789,0.02431610778624775,0.01933634168462455,0.01933634168462455
1513655965.36,54.0,57.0,57.0,55.0,0.04774379436722098,0.1250891611057192,0.0034034872053058302,0.07660232627560004,0.05835277579145708,0.028063701945013002,0.01933634168462455,0.01933634168462455
1513655965.56,54.0,57.0,57.0,55.0,0.028925480081050156,0.10627084681954836,0.0030192225203032382,0.07621806159059745,0.03733441817976402,0.026621277408434976,0.022978809546724818,0.01933634168462455
1513655965.76,54.0,57.0,57.0,55.0,0.0400812100805798,0.117426576819078,0.0021123321819623564,0.07531117125225657,0.05020970620554441,0.028544187244284498,0.01933634168462455,0.01933634168462455
1513655965.96,54.0,57.0,57.0,55.0,0.04344685287114484,0.12079221960964304,0.0033302939319180594,0.07652913300221227,0.04974913869411527,0.03237039754627867,0.01933634168462455,0.01933634168462455
1513655966.16,54.0,57.0,57.0,55.0,0.05463701796422071,0.13198238470271892,0.0020128150120164367,0.07521165408231065,0.066034647637296,0.02727505369617382,0.01933634168462455,0.01933634168462455
1513655966.36,54.0,57.0,57.0,55.0,0.09030650293356905,0.16765186967206724,0.0019819967917283497,0.07518083586202257,0.06570995129866933,0.06326923500414883,0.01933634168462455,0.01933634168462455
